"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18615520,"2018-06-18 18:00:00","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","28400 MEDIAR DR, VALENCIA, CA 91355","28400 MEDIAR DR","VALENCIA","91355","918-08552-0642","0642","08552","CA0190006","SANTA CLARITA VALLEY","N"
18614814,"2018-06-18 18:15:00","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","29300 LAS TERRENO, VALENCIA, CA","29300 LAS TERRENO","VALENCIA",,"918-08513-0673","0673","08513","CA0190006","SANTA CLARITA VALLEY","N"
18614375,"2018-06-18 19:10:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","7200 ROSEMEAD BLVD, SAN GABRIEL, CA 91775","7200 ROSEMEAD BLVD","SAN GABRIEL","91775","918-07565-0590","0590","07565","CA0190005","TEMPLE","N"
18615311,"2018-06-18 19:15:00","LARCENY THEFT","084","GRAND THEFT: From Unlocked Auto","400 LATIGO CANYON RD, MALIBU, CA","400 LATIGO CANYON RD","MALIBU",,"918-03662-1022","1022","03662","CA0190022","MALIBU/LOST HILLS","N"
18614358,"2018-06-18 19:36:21","LARCENY THEFT","383","THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)","5600 WOODRUFF AVE, LAKEWOOD, CA 90713","5600 WOODRUFF AVE","LAKEWOOD","90713","918-13574-1326","1326","13574","CA0190013","LAKEWOOD","N"
18617704,"2018-06-18 20:00:00","LARCENY THEFT","387","THEFT, PETTY: From Bldgs (Church, School, Restaurant)","15800 NEWTON ST, HACIENDA HEIGHTS, CA","15800 NEWTON ST","HACIENDA HEIGHTS",,"918-08171-1476","1476","08171","CA0190014","INDUSTRY","N"
18614412,"2018-06-18 20:25:00","LARCENY THEFT","383","THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)","11700 FIRESTONE BLVD, NORWALK, CA 90650","11700 FIRESTONE BLVD","NORWALK","90650","918-09333-0453","0453","09333","CA0190004","NORWALK","N"
18614442,"2018-06-18 20:30:00","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","6100 ATLANTIC AVE, MAYWOOD, CA","6100 ATLANTIC AVE","MAYWOOD",,"918-09193-0250","0250","09193","CA0190002","EAST LOS ANGELES","N"
18614453,"2018-06-18 20:44:30","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","17700 CASTLETON ST, CITY OF INDUSTRY, CA 91748","17700 CASTLETON ST","CITY OF INDUSTRY","91748","918-08031-1416","1416","08031","CA0190014","INDUSTRY","N"
18614646,"2018-06-18 21:00:00","LARCENY THEFT","385","THEFT, PETTY: Auto Parts And Accessories","11500 LONG BEACH BLVD, LYNWOOD, CA 90262","11500 LONG BEACH BLVD","LYNWOOD","90262","918-08941-2111","2111","08941","CA01900V3","CENTURY","N"
18619247,"2018-06-18 21:07:30","LARCENY THEFT","387","THEFT, PETTY: From Bldgs (Church, School, Restaurant)","12900 TOWNE CENTER DR, CERRITOS, CA 90703","12900 TOWNE CENTER DR","CERRITOS","90703","918-02776-2317","2317","02776","CA01900R7","CERRITOS","N"
18615208,"2018-06-18 21:30:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","24200 TANGO DR, VALENCIA, CA","24200 TANGO DR","VALENCIA",,"918-08537-0673","0673","08537","CA0190006","SANTA CLARITA VALLEY","N"
