,ethnicity,name,address,price_level,rating
0,chinese,Rice Queen Chinese Cuisine,"1605 Pacific Coast Hwy # 109, Harbor City",1,3.4
1,french,Dominique's Kitchen,"522 S Pacific Coast Hwy, Redondo Beach",2,4.7
2,greek,Chicken Maison,"24631 Crenshaw Blvd, Torrance",,4.1
3,indian,Forever Indian Tandoori,"1824 Lomita Blvd Suit a, Lomita",,5
4,italian,Mama Says,"2621 Pacific Coast Hwy, Torrance",1,4.5
5,japanese,Shoya,"1920 Pacific Coast Hwy, Lomita",,4.7
6,korean,Ko Hyang,"1250 Lomita Blvd, Harbor City",,4.3
7,mexican,Vaquero Mexican Grill,"1111 W Pacific Coast Hwy, Harbor City",,4
8,new american,R/10 Social House,"179 N Harbor Dr, Redondo Beach",2,4.2
9,soul food,M & M Soul Food,"335 E Albertoni St, Carson",1,4.2
10,spanish,Cafe Sevilla of Long Beach,"140 Pine Ave, Long Beach",2,4.2
11,thai,Smile Thai,"1605 Pacific Coast Hwy, Harbor City",,4.7
12,vietnamese,Saigon Bistro,"1639 W Carson St, Torrance",1,4.5
