,RegionName,State,CountyName,2018-05,Unnamed: 0_x,Price level_x,Rating_x,Latitude_x,Longitude_x,House Price Ranking,Unnamed: 0_y,Price level_y,Rating_y,Latitude_y,Longitude_y
42,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,17.0,2.0,4.3,34.083804,-118.273852
43,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,18.0,2.0,4.5,34.078587299999995,-118.3764199
44,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,26.0,,4.7,33.9888277,-118.3340017
45,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,30.0,,4.0,34.0516025,-118.2550754
46,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,31.0,2.0,4.5,34.077119200000006,-118.2587199
47,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,33.0,2.0,4.5,34.0828183,-118.32415859999999
48,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,34.0,2.0,4.3,34.083804,-118.273852
49,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,36.0,2.0,4.5,34.078587299999995,-118.3764199
50,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,37.0,,4.5,34.0822255,-118.3768009
51,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,39.0,2.0,4.4,34.100516999999996,-118.32927
52,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,45.0,,4.7,33.9888277,-118.3340017
53,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,49.0,2.0,4.6,34.0427223,-118.2529723
54,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,50.0,2.0,4.6,34.047626,-118.32761399999998
55,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,51.0,,4.0,34.0516025,-118.2550754
56,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,54.0,2.0,4.5,34.077119200000006,-118.2587199
