,RegionName,State,CountyName,2018-05,Unnamed: 0,Price level,Rating,Latitude,Longitude,House Price Ranking,counts
43,Pomona,CA,Los Angeles,422000.0,0.0,0.0,0.0,0.0,0.0,Low,1
58,Norwalk,CA,Los Angeles,480100.0,61.0,0.0,4.4,33.902809399999995,-118.05391399999999,Low,46
