,Price level,Rating,Latitude,Longitude,RegionName
0,3,4.6,34.0450139,-118.2388682, Los Angeles
1,,4.7,33.9888277,-118.3340017, Los Angeles
2,2,4.4,34.045623,-118.2324544, Los Angeles
3,3,4.5,34.0462746,-118.2347141, Los Angeles
4,,4,34.0516025,-118.2550754, Los Angeles
5,2,4.6,34.047626,-118.327614, Los Angeles
6,2,4.5,34.0771192,-118.2587199, Los Angeles
7,2,4.3,34.083804,-118.273852, Los Angeles
8,2,4.5,34.0828183,-118.3241586, Los Angeles
9,1,4.2,34.00424,-118.409539, Culver City
10,2,4.5,34.0065368,-118.41216, Culver City
11,2,4.4,34.100517,-118.32927, Los Angeles
12,2,4.5,34.0785873,-118.3764199, Los Angeles
13,,4.5,34.0822255,-118.3768009, Los Angeles
14,2,4.6,34.118765,-118.179128, Los Angeles
15,2,4.5,34.097542,-118.363321, Los Angeles
16,1,4.5,34.090791,-118.390096, West Hollywood
17,2,4.6,33.9866368,-118.471642, Venice
18,2,4.4,34.1592118,-118.2672531, Glendale
19,2,4.5,34.1385838,-118.3665381, Studio City
20,,4.7,33.9888277,-118.3340017, Los Angeles
21,2,4.6,33.9633419,-118.3515974, Inglewood
22,3,4.6,34.0450139,-118.2388682, Los Angeles
23,2,4.4,34.045623,-118.2324544, Los Angeles
24,,4,34.0516025,-118.2550754, Los Angeles
25,2,4.5,34.0771192,-118.2587199, Los Angeles
26,2,4.3,34.083804,-118.273852, Los Angeles
27,1,4.2,34.00424,-118.409539, Culver City
28,2,4.5,34.0828183,-118.3241586, Los Angeles
29,2,4.5,34.0065368,-118.41216, Culver City
30,2,4.4,34.100517,-118.32927, Los Angeles
31,2,4.5,34.0785873,-118.3764199, Los Angeles
32,,4.5,34.0822255,-118.3768009, Los Angeles
33,2,4.5,34.097542,-118.363321, Los Angeles
34,2,4.6,34.118765,-118.179128, Los Angeles
35,2,4.6,33.817329,-118.387987, Redondo Beach
36,1,4.5,34.090791,-118.390096, West Hollywood
37,2,4.6,33.7706309,-118.1822109, Long Beach
38,2,4.6,33.9866368,-118.471642, Venice
39,2,4.4,34.1592118,-118.2672531, Glendale
40,,4.7,33.9888277,-118.3340017, Los Angeles
41,2,4.6,33.9633419,-118.3515974, Inglewood
42,2,4.6,34.0427223,-118.2529723, Los Angeles
43,3,4.6,34.0450139,-118.2388682, Los Angeles
44,2,4.4,34.045623,-118.2324544, Los Angeles
45,,4,34.0516025,-118.2550754, Los Angeles
46,2,4.6,34.047626,-118.327614, Los Angeles
47,1,4.2,34.00424,-118.409539, Culver City
48,2,4.5,34.0771192,-118.2587199, Los Angeles
49,2,4.5,34.0065368,-118.41216, Culver City
50,2,4.3,34.083804,-118.273852, Los Angeles
51,2,4.5,34.0828183,-118.3241586, Los Angeles
52,1,4.4,34.0839136,-118.3586943, Los Angeles
53,2,4.5,34.0785873,-118.3764199, Los Angeles
54,2,4.4,34.100517,-118.32927, Los Angeles
55,2,4.6,33.817329,-118.387987, Redondo Beach
56,2,4.5,34.097542,-118.363321, Los Angeles
57,2,4.6,33.9866368,-118.471642, Venice
58,1,4.5,34.090791,-118.390096, West Hollywood
59,2,4.6,34.118765,-118.179128, Los Angeles
60,,5,33.815576,-118.351367, Torrance
61,2,4.6,33.8366772,-118.318935, Torrance
62,2,4.6,33.817329,-118.387987, Redondo Beach
63,2,4.6,33.7706309,-118.1822109, Long Beach
64,,4.5,33.8645386,-118.3966923, Hermosa Beach
65,2,4.6,33.9633419,-118.3515974, Inglewood
66,,4.7,33.9888277,-118.3340017, Los Angeles
67,1,4.2,34.00424,-118.409539, Culver City
68,2,4.5,34.0065368,-118.41216, Culver City
69,2,4.6,33.9866368,-118.471642, Venice
70,2,4.6,34.0427223,-118.2529723, Los Angeles
71,2,4.6,34.047626,-118.327614, Los Angeles
72,3,4.6,34.0450139,-118.2388682, Los Angeles
73,,4,34.0516025,-118.2550754, Los Angeles
74,2,4.6,34.0167692,-118.4912757, Santa Monica
75,,4.6,34.0203454,-118.4963926, Santa Monica
76,2,4.5,34.0771192,-118.2587199, Los Angeles
77,2,4.5,34.0828183,-118.3241586, Los Angeles
78,2,4.3,34.083804,-118.273852, Los Angeles
79,2,4.4,34.100517,-118.32927, Los Angeles
80,,5,33.815576,-118.351367, Torrance
81,2,4.6,33.8366772,-118.318935, Torrance
82,2,4.6,33.817329,-118.387987, Redondo Beach
83,2,4.6,33.7706309,-118.1822109, Long Beach
84,,4.5,33.8645386,-118.3966923, Hermosa Beach
85,2,4.6,33.9633419,-118.3515974, Inglewood
86,,4.7,33.9888277,-118.3340017, Los Angeles
87,1,4.2,34.00424,-118.409539, Culver City
88,2,4.5,34.0065368,-118.41216, Culver City
89,2,4.6,33.9866368,-118.471642, Venice
90,2,4.6,34.0427223,-118.2529723, Los Angeles
91,2,4.6,34.047626,-118.327614, Los Angeles
92,3,4.6,34.0450139,-118.2388682, Los Angeles
93,,4,34.0516025,-118.2550754, Los Angeles
94,2,4.6,34.0167692,-118.4912757, Santa Monica
95,,4.6,34.0203454,-118.4963926, Santa Monica
96,2,4.5,34.0771192,-118.2587199, Los Angeles
97,2,4.5,34.0828183,-118.3241586, Los Angeles
98,2,4.3,34.083804,-118.273852, Los Angeles
99,2,4.4,34.100517,-118.32927, Los Angeles
100,,5,33.815576,-118.351367, Torrance
101,2,4.6,33.8366772,-118.318935, Torrance
102,2,4.6,33.817329,-118.387987, Redondo Beach
103,2,4.6,33.7706309,-118.1822109, Long Beach
104,,4.5,33.8645386,-118.3966923, Hermosa Beach
105,2,4.6,33.9633419,-118.3515974, Inglewood
106,,4.7,33.9888277,-118.3340017, Los Angeles
107,1,4.2,34.00424,-118.409539, Culver City
108,2,4.5,34.0065368,-118.41216, Culver City
109,2,4.6,33.9866368,-118.471642, Venice
110,2,4.6,34.0427223,-118.2529723, Los Angeles
111,2,4.6,34.047626,-118.327614, Los Angeles
112,3,4.6,34.0450139,-118.2388682, Los Angeles
113,,4,34.0516025,-118.2550754, Los Angeles
114,2,4.6,34.0167692,-118.4912757, Santa Monica
115,,4.6,34.0203454,-118.4963926, Santa Monica
116,2,4.5,34.0771192,-118.2587199, Los Angeles
117,2,4.5,34.0828183,-118.3241586, Los Angeles
118,2,4.3,34.083804,-118.273852, Los Angeles
119,2,4.4,34.100517,-118.32927, Los Angeles
120,,5,33.815576,-118.351367, Torrance
121,2,4.6,33.8366772,-118.318935, Torrance
122,2,4.6,33.817329,-118.387987, Redondo Beach
123,2,4.6,33.7706309,-118.1822109, Long Beach
124,,4.5,33.8645386,-118.3966923, Hermosa Beach
125,2,4.6,33.9633419,-118.3515974, Inglewood
126,,4.7,33.9888277,-118.3340017, Los Angeles
127,1,4.2,34.00424,-118.409539, Culver City
128,2,4.5,34.0065368,-118.41216, Culver City
129,2,4.6,33.9866368,-118.471642, Venice
130,2,4.6,34.0427223,-118.2529723, Los Angeles
131,2,4.6,34.047626,-118.327614, Los Angeles
132,3,4.6,34.0450139,-118.2388682, Los Angeles
133,,4,34.0516025,-118.2550754, Los Angeles
134,2,4.6,34.0167692,-118.4912757, Santa Monica
135,,4.6,34.0203454,-118.4963926, Santa Monica
136,2,4.5,34.0771192,-118.2587199, Los Angeles
137,2,4.5,34.0828183,-118.3241586, Los Angeles
138,2,4.3,34.083804,-118.273852, Los Angeles
139,2,4.4,34.100517,-118.32927, Los Angeles
140,,5,33.815576,-118.351367, Torrance
141,2,4.6,33.8366772,-118.318935, Torrance
142,2,4.6,33.817329,-118.387987, Redondo Beach
143,2,4.6,33.7706309,-118.1822109, Long Beach
144,,4.5,33.8645386,-118.3966923, Hermosa Beach
145,2,4.6,33.9633419,-118.3515974, Inglewood
146,,4.7,33.9888277,-118.3340017, Los Angeles
147,1,4.2,34.00424,-118.409539, Culver City
148,2,4.5,34.0065368,-118.41216, Culver City
149,2,4.6,33.9866368,-118.471642, Venice
150,2,4.6,34.0427223,-118.2529723, Los Angeles
151,2,4.6,34.047626,-118.327614, Los Angeles
152,3,4.6,34.0450139,-118.2388682, Los Angeles
153,,4,34.0516025,-118.2550754, Los Angeles
154,2,4.6,34.0167692,-118.4912757, Santa Monica
155,,4.6,34.0203454,-118.4963926, Santa Monica
156,2,4.5,34.0771192,-118.2587199, Los Angeles
157,2,4.5,34.0828183,-118.3241586, Los Angeles
158,2,4.3,34.083804,-118.273852, Los Angeles
159,2,4.4,34.100517,-118.32927, Los Angeles
160,,5,33.815576,-118.351367, Torrance
161,2,4.6,33.8366772,-118.318935, Torrance
162,2,4.6,33.817329,-118.387987, Redondo Beach
163,2,4.6,33.7706309,-118.1822109, Long Beach
164,,4.5,33.8645386,-118.3966923, Hermosa Beach
165,2,4.6,33.9633419,-118.3515974, Inglewood
166,,4.7,33.9888277,-118.3340017, Los Angeles
167,1,4.2,34.00424,-118.409539, Culver City
168,2,4.5,34.0065368,-118.41216, Culver City
169,2,4.6,33.9866368,-118.471642, Venice
170,2,4.6,34.0427223,-118.2529723, Los Angeles
171,2,4.6,34.047626,-118.327614, Los Angeles
172,3,4.6,34.0450139,-118.2388682, Los Angeles
173,,4,34.0516025,-118.2550754, Los Angeles
174,2,4.6,34.0167692,-118.4912757, Santa Monica
175,,4.6,34.0203454,-118.4963926, Santa Monica
176,2,4.5,34.0771192,-118.2587199, Los Angeles
177,2,4.5,34.0828183,-118.3241586, Los Angeles
178,2,4.3,34.083804,-118.273852, Los Angeles
179,2,4.4,34.100517,-118.32927, Los Angeles
180,,5,33.815576,-118.351367, Torrance
181,2,4.6,33.8366772,-118.318935, Torrance
182,2,4.6,33.817329,-118.387987, Redondo Beach
183,2,4.6,33.7706309,-118.1822109, Long Beach
184,,4.5,33.8645386,-118.3966923, Hermosa Beach
185,2,4.6,33.9633419,-118.3515974, Inglewood
186,,4.7,33.9888277,-118.3340017, Los Angeles
187,1,4.2,34.00424,-118.409539, Culver City
188,2,4.5,34.0065368,-118.41216, Culver City
189,2,4.6,33.9866368,-118.471642, Venice
190,2,4.6,34.0427223,-118.2529723, Los Angeles
191,2,4.6,34.047626,-118.327614, Los Angeles
192,3,4.6,34.0450139,-118.2388682, Los Angeles
193,,4,34.0516025,-118.2550754, Los Angeles
194,2,4.6,34.0167692,-118.4912757, Santa Monica
195,,4.6,34.0203454,-118.4963926, Santa Monica
196,2,4.5,34.0771192,-118.2587199, Los Angeles
197,2,4.5,34.0828183,-118.3241586, Los Angeles
198,2,4.3,34.083804,-118.273852, Los Angeles
199,2,4.4,34.100517,-118.32927, Los Angeles
200,2,4.6,34.0427223,-118.2529723, Los Angeles
201,3,4.6,34.0450139,-118.2388682, Los Angeles
202,2,4.4,34.045623,-118.2324544, Los Angeles
203,3,4.5,34.0462746,-118.2347141, Los Angeles
204,,4,34.0516025,-118.2550754, Los Angeles
205,,4.7,33.9888277,-118.3340017, Los Angeles
206,2,4.6,34.047626,-118.327614, Los Angeles
207,2,4.5,34.0771192,-118.2587199, Los Angeles
208,2,4.3,34.083804,-118.273852, Los Angeles
209,2,4.5,34.0828183,-118.3241586, Los Angeles
210,2,4.4,34.100517,-118.32927, Los Angeles
211,1,4.4,34.0839136,-118.3586943, Los Angeles
212,1,4.2,34.00424,-118.409539, Culver City
213,2,4.5,34.0065368,-118.41216, Culver City
214,2,4.5,34.0785873,-118.3764199, Los Angeles
215,2,4.6,34.118765,-118.179128, Los Angeles
216,2,4.5,34.097542,-118.363321, Los Angeles
217,,4.4,34.0796122,-118.093476, San Gabriel
218,2,4.4,34.1592118,-118.2672531, Glendale
219,2,3,34.138548,-118.366535, Studio City
220,,5,33.815576,-118.351367, Torrance
221,2,4.6,33.8366772,-118.318935, Torrance
222,2,4.6,33.817329,-118.387987, Redondo Beach
223,2,4.6,33.7706309,-118.1822109, Long Beach
224,,4.5,33.8645386,-118.3966923, Hermosa Beach
225,2,4.6,33.9633419,-118.3515974, Inglewood
226,,4.7,33.9888277,-118.3340017, Los Angeles
227,1,4.2,34.00424,-118.409539, Culver City
228,2,4.5,34.0065368,-118.41216, Culver City
229,2,4.6,33.9866368,-118.471642, Venice
230,2,4.6,34.0427223,-118.2529723, Los Angeles
