,ethnicity,name,address,price_level,rating
0,chinese,Ruiji Sichuan Cuisine,"2647, 1949 Pacific Coast Hwy, Lomita",,4.6
1,french,Creme De La Crepe,"400 E First St, Long Beach",2,4.5
2,greek,Aristo Cafe,"3768 W 242nd St, Torrance",2,4.7
3,indian,Kabab Curry Cuisine of India,"6100, 25332 Crenshaw Blvd, Torrance",2,3.7
4,italian,Gaetano's Restaurant,"2731 Pacific Coast Hwy, Torrance",2,4.6
5,japanese,Tamaen,"1935 Pacific Coast Hwy, Lomita",2,4.8
6,korean,Kimbap Paradise(김밥천국),"1585 Sepulveda Blvd H, Torrance",1,4.3
7,mexican,Los Paisas Restaurant,"25720 S Western Ave, Harbor City",2,4.4
8,new american,BALEENKitchen,"260 Portofino Way, Redondo Beach",3,4
9,soul food,Marjoe's Soul Food and Barbecue Restaurant,"17531 S Central Ave, Carson",1,4.3
10,spanish,A Basq Kitchen,"136 International Boardwalk, Redondo Beach",,4.2
11,thai,Lomita Thai Cafe,"1733 Pacific Coast Hwy, Lomita",1,4.1
12,vietnamese,Blue Lotus Vietnamese Cuisine,"21705 S Main St, Carson",,4.1
