,RegionName,State,CountyName,2018-05,zip_code,latitude,longitude
84,Pasadena,CA,Los Angeles,921500,90086,33.786594,-118.29866200000001
85,Pasadena,CA,Los Angeles,921500,90087,33.786594,-118.29866200000001
86,Pasadena,CA,Los Angeles,921500,90088,33.786594,-118.29866200000001
87,Pasadena,CA,Los Angeles,921500,90089,33.786594,-118.29866200000001
88,Pasadena,CA,Los Angeles,921500,90091,33.786594,-118.29866200000001
89,Pasadena,CA,Los Angeles,921500,90093,33.786594,-118.29866200000001
90,Pasadena,CA,Los Angeles,921500,90094,33.786594,-118.29866200000001
91,Pasadena,CA,Los Angeles,921500,90095,33.786594,-118.29866200000001
92,Pasadena,CA,Los Angeles,921500,90096,33.786594,-118.29866200000001
93,Pasadena,CA,Los Angeles,921500,90097,33.786594,-118.29866200000001
94,Pasadena,CA,Los Angeles,921500,90099,33.786594,-118.29866200000001
95,Pasadena,CA,Los Angeles,921500,90101,33.786594,-118.29866200000001
96,Pasadena,CA,Los Angeles,921500,90102,33.786594,-118.29866200000001
97,Pasadena,CA,Los Angeles,921500,90103,33.786594,-118.29866200000001
98,Pasadena,CA,Los Angeles,921500,90174,33.786594,-118.29866200000001
99,Pasadena,CA,Los Angeles,921500,90185,33.786594,-118.29866200000001
100,Pasadena,CA,Los Angeles,921500,90201,33.976663,-118.168903
101,Pasadena,CA,Los Angeles,921500,90202,33.786594,-118.29866200000001
102,Pasadena,CA,Los Angeles,921500,90209,33.786594,-118.29866200000001
103,Pasadena,CA,Los Angeles,921500,90210,33.786594,-118.29866200000001
104,Pasadena,CA,Los Angeles,921500,90211,33.786594,-118.29866200000001
105,Pasadena,CA,Los Angeles,921500,90212,33.786594,-118.29866200000001
106,Pasadena,CA,Los Angeles,921500,90213,33.786594,-118.29866200000001
107,Pasadena,CA,Los Angeles,921500,90220,33.874815000000005,-118.24020800000001
108,Pasadena,CA,Los Angeles,921500,90221,33.879565,-118.21681000000001
109,Pasadena,CA,Los Angeles,921500,90222,33.909915000000005,-118.235654
110,Pasadena,CA,Los Angeles,921500,90223,33.786594,-118.29866200000001
111,Pasadena,CA,Los Angeles,921500,90224,33.786594,-118.29866200000001
112,Pasadena,CA,Los Angeles,921500,90230,33.786594,-118.29866200000001
113,Pasadena,CA,Los Angeles,921500,90231,33.786594,-118.29866200000001
114,Pasadena,CA,Los Angeles,921500,90232,33.786594,-118.29866200000001
115,Pasadena,CA,Los Angeles,921500,90233,33.786594,-118.29866200000001
116,Pasadena,CA,Los Angeles,921500,90239,33.786594,-118.29866200000001
117,Pasadena,CA,Los Angeles,921500,90240,33.946363,-118.11946100000002
118,Pasadena,CA,Los Angeles,921500,90241,33.939164,-118.125851
119,Pasadena,CA,Los Angeles,921500,90242,33.922714,-118.139969
120,Pasadena,CA,Los Angeles,921500,90245,33.786594,-118.29866200000001
121,Pasadena,CA,Los Angeles,921500,90247,33.888315000000006,-118.29525600000001
122,Pasadena,CA,Los Angeles,921500,90248,33.877165000000005,-118.269605
123,Pasadena,CA,Los Angeles,921500,90249,33.858866,-118.29910600000001
124,Pasadena,CA,Los Angeles,921500,90250,33.786594,-118.29866200000001
125,Pasadena,CA,Los Angeles,921500,90251,33.786594,-118.29866200000001
126,Pasadena,CA,Los Angeles,921500,90254,33.786594,-118.29866200000001
