RegionName,State,CountyName,2018-05,Unnamed: 0,Price level,Rating,Latitude,Longitude,House Price Ranking
Santa Monica,CA,Los Angeles,2665300,94,,4.6,34.0203454,-118.4963926,High
Santa Monica,CA,Los Angeles,2665300,96,,4.5,34.0325744,-118.4944729,High
Hawthorne,CA,Los Angeles,618000,,,,,,Mid
Alhambra,CA,Los Angeles,710700,,,,,,Mid
Lakewood,CA,Los Angeles,582700,,,,,,Mid
Whittier,CA,Los Angeles,580200,,,,,,Mid
Carson,CA,Los Angeles,540400,,,,,,Low
Bellflower,CA,Los Angeles,527600,,,,,,Low
Covina,CA,Los Angeles,544100,,,,,,Low
Baldwin Park,CA,Los Angeles,463300,,,,,,Low
Huntington Park,CA,Los Angeles,433700,,,,,,Low
Redondo Beach,CA,Los Angeles,1197400,2,2,4.7,33.8189633,-118.3878771,High
Redondo Beach,CA,Los Angeles,1197400,3,2,4.6,33.817329,-118.387987,High
Redondo Beach,CA,Los Angeles,1197400,22,2,4.6,33.817329,-118.387987,High
Redondo Beach,CA,Los Angeles,1197400,42,2,4.6,33.817329,-118.387987,High
Redondo Beach,CA,Los Angeles,1197400,73,2,4.6,33.817329,-118.387987,High
Redondo Beach,CA,Los Angeles,1197400,82,2,4.6,33.817329,-118.387987,High
Lynwood,CA,Los Angeles,420600,,,,,,Low
Pico Rivera,CA,Los Angeles,476000,,,,,,Low
Rosemead,CA,Los Angeles,598900,,,,,,Mid
Arcadia,CA,Los Angeles,1282500,76,,4.7,34.1432717,-118.0319401,High
San Gabriel,CA,Los Angeles,814400,66,,4.4,34.0796122,-118.093476,High
Gardena,CA,Los Angeles,552300,,,,,,Mid
Florence-Graham,CA,Los Angeles,357600,,,,,,Low
Monterey Park,CA,Los Angeles,691800,,,,,,Mid
Azusa,CA,Los Angeles,465800,,,,,,Low
Montebello,CA,Los Angeles,554200,,,,,,Mid
South Whittier,CA,Los Angeles,517400,,,,,,Low
Glendora,CA,Los Angeles,620200,,,,,,Mid
Hacienda Heights,CA,Los Angeles,683900,,,,,,Mid
Paramount,CA,Los Angeles,461600,,,,,,Low
La Mirada,CA,Los Angeles,581400,,,,,,Mid
Diamond Bar,CA,Los Angeles,756900,,,,,,High
Cerritos,CA,Los Angeles,742700,60,,4.3,33.8664609,-118.0927985,Mid
Bell Gardens,CA,Los Angeles,453900,,,,,,Low
Monrovia,CA,Los Angeles,746500,,,,,,Mid
Rowland Heights,CA,Los Angeles,672200,,,,,,Mid
La Puente,CA,Los Angeles,459100,,,,,,Low
Agua Dulce,CA,Los Angeles,701000,,,,,,Mid
Altadena,CA,Los Angeles,821500,,,,,,High
Culver City,CA,Los Angeles,1317500,8,1,4.2,34.00424,-118.409539,High
Culver City,CA,Los Angeles,1317500,9,2,4.5,34.0065368,-118.41216,High
Culver City,CA,Los Angeles,1317500,26,1,4.2,34.00424,-118.409539,High
Culver City,CA,Los Angeles,1317500,27,2,4.5,34.0065368,-118.41216,High
Culver City,CA,Los Angeles,1317500,46,1,4.2,34.00424,-118.409539,High
Culver City,CA,Los Angeles,1317500,47,2,4.5,34.0065368,-118.41216,High
Culver City,CA,Los Angeles,1317500,79,1,4.2,34.00424,-118.409539,High
Culver City,CA,Los Angeles,1317500,86,1,4.2,34.00424,-118.409539,High
Culver City,CA,Los Angeles,1317500,87,2,4.5,34.0065368,-118.41216,High
Beverly Hills,CA,Los Angeles,5964800,,,,,,High
Bell,CA,Los Angeles,425600,,,,,,Low
West Hollywood,CA,Los Angeles,1764600,19,1,4.5,34.090791,-118.390096,High
West Hollywood,CA,Los Angeles,1764600,39,1,4.5,34.090791,-118.390096,High
West Hollywood,CA,Los Angeles,1764600,59,1,4.5,34.090791,-118.390096,High
West Hollywood,CA,Los Angeles,1764600,99,1,4.5,34.090791,-118.390096,High
Manhattan Beach,CA,Los Angeles,2567000,,,,,,High
Westmont,CA,Los Angeles,460400,,,,,,Low
Rancho Palos Verdes,CA,Los Angeles,1386000,,,,,,High
Lawndale,CA,Los Angeles,560200,,,,,,Mid
San Dimas,CA,Los Angeles,653700,,,,,,Mid
Temple City,CA,Los Angeles,788400,,,,,,High
Walnut,CA,Los Angeles,797000,,,,,,High
Claremont,CA,Los Angeles,701700,,,,,,Mid
Maywood,CA,Los Angeles,410100,,,,,,Low
South Pasadena,CA,Los Angeles,1247800,,,,,,High
San Fernando,CA,Los Angeles,480100,,,,,,Low
La Verne,CA,Los Angeles,682800,,,,,,Mid
Cudahy,CA,Los Angeles,446400,,,,,,Low
Agoura Hills,CA,Los Angeles,1034600,,,,,,High
West Carson,CA,Los Angeles,576500,,,,,,Mid
South El Monte,CA,Los Angeles,484200,,,,,,Low
Lomita,CA,Los Angeles,712200,,,,,,Mid
La Canada Flintridge,CA,Los Angeles,1833900,,,,,,High
Duarte,CA,Los Angeles,551700,,,,,,Mid
Hermosa Beach,CA,Los Angeles,1979800,4,,4.5,33.8645386,-118.3966923,High
La Crescenta-Montrose,CA,Los Angeles,929300,,,,,,High
Willowbrook,CA,Los Angeles,391700,,,,,,Low
El Segundo,CA,Los Angeles,1340800,,,,,,High
Artesia,CA,Los Angeles,590100,,,,,,Mid
South San Jose Hills,CA,Los Angeles,444400,,,,,,Low
West Whittier-Los Nietos,CA,Los Angeles,479600,,,,,,Low
Santa Fe Springs,CA,Los Angeles,490100,,,,,,Low
West Puente Valley,CA,Los Angeles,470500,,,,,,Low
Calabasas,CA,Los Angeles,1141300,,,,,,High
Valinda,CA,Los Angeles,484700,,,,,,Low
Hawaiian Gardens,CA,Los Angeles,435600,,,,,,Low
Commerce,CA,Los Angeles,440300,,,,,,Low
Castaic,CA,Los Angeles,569500,,,,,,Mid
Malibu,CA,Los Angeles,3500700,,,,,,High
Sierra Madre,CA,Los Angeles,1077500,,,,,,High
View Park-Windsor Hills,CA,Los Angeles,847700,,,,,,High
San Marino,CA,Los Angeles,2434200,,,,,,High
Littlerock,CA,Los Angeles,269900,,,,,,Low
Avocado Heights,CA,Los Angeles,560300,,,,,,Mid
Signal Hill,CA,Los Angeles,687500,,,,,,Mid
West Athens,CA,Los Angeles,487500,,,,,,Low
Palos Verdes Estates,CA,Los Angeles,2143400,,,,,,High
Alondra Park,CA,Los Angeles,617400,,,,,,Mid
Topanga,CA,Los Angeles,1268900,,,,,,High
Ladera Heights,CA,Los Angeles,1273400,,,,,,High
East La Mirada,CA,Los Angeles,587500,,,,,,Mid
La Habra Heights,CA,Los Angeles,979700,,,,,,High
Acton,CA,Los Angeles,596900,,,,,,Mid
Avalon,CA,Los Angeles,759100,,,,,,High
Pearblossom,CA,Los Angeles,235600,,,,,,Low
Rolling Hills Estates,CA,Los Angeles,1565800,,,,,,High
Rolling Hills,CA,Los Angeles,3346100,,,,,,High
Hidden Hills,CA,Los Angeles,3323600,,,,,,High
Palos Verdes Peninsula,CA,Los Angeles,1562100,,,,,,High
Lake Hughes,CA,Los Angeles,285100,,,,,,Low
East Pasadena,CA,Los Angeles,1006900,,,,,,High
Green Valley,CA,Los Angeles,274200,,,,,,Low
