,RegionName,State,CountyName,2018-05,Unnamed: 0,Price level,Rating,Latitude,Longitude,House Price Ranking,counts
58,Norwalk,CA,Los Angeles,480100.0,61.0,,4.4,33.902809399999995,-118.05391399999999,Low,46
59,Santa Monica,CA,Los Angeles,2665300.0,13.0,2.0,4.6,34.016769200000006,-118.4912757,High,1380
60,Santa Monica,CA,Los Angeles,2665300.0,14.0,,4.6,34.0203454,-118.4963926,High,1380
61,Santa Monica,CA,Los Angeles,2665300.0,31.0,2.0,4.6,34.016769200000006,-118.4912757,High,1380
62,Santa Monica,CA,Los Angeles,2665300.0,34.0,,4.6,34.0203454,-118.4963926,High,1380
63,Santa Monica,CA,Los Angeles,2665300.0,37.0,,4.5,34.0325744,-118.4944729,High,1380
64,Santa Monica,CA,Los Angeles,2665300.0,53.0,2.0,4.6,34.016769200000006,-118.4912757,High,1380
65,Santa Monica,CA,Los Angeles,2665300.0,54.0,,4.6,34.0203454,-118.4963926,High,1380
66,Santa Monica,CA,Los Angeles,2665300.0,56.0,,4.5,34.0325744,-118.4944729,High,1380
67,Santa Monica,CA,Los Angeles,2665300.0,93.0,2.0,4.6,34.016769200000006,-118.4912757,High,1380
68,Santa Monica,CA,Los Angeles,2665300.0,94.0,,4.6,34.0203454,-118.4963926,High,1380
69,Santa Monica,CA,Los Angeles,2665300.0,96.0,,4.5,34.0325744,-118.4944729,High,1380
70,Whittier,CA,Los Angeles,580200.0,,,,,,Mid,27
71,Redondo Beach,CA,Los Angeles,1197400.0,2.0,2.0,4.7,33.8189633,-118.3878771,High,507
72,Redondo Beach,CA,Los Angeles,1197400.0,3.0,2.0,4.6,33.817329,-118.38798700000001,High,507
73,Redondo Beach,CA,Los Angeles,1197400.0,22.0,2.0,4.6,33.817329,-118.38798700000001,High,507
74,Redondo Beach,CA,Los Angeles,1197400.0,42.0,2.0,4.6,33.817329,-118.38798700000001,High,507
75,Redondo Beach,CA,Los Angeles,1197400.0,73.0,2.0,4.6,33.817329,-118.38798700000001,High,507
76,Redondo Beach,CA,Los Angeles,1197400.0,82.0,2.0,4.6,33.817329,-118.38798700000001,High,507
77,Arcadia,CA,Los Angeles,1282500.0,76.0,,4.7,34.1432717,-118.03194009999999,High,26
78,San Gabriel,CA,Los Angeles,814400.0,66.0,,4.4,34.0796122,-118.093476,High,21
79,Hacienda Heights,CA,Los Angeles,683900.0,,,,,,Mid,3
80,Cerritos,CA,Los Angeles,742700.0,60.0,,4.3,33.8664609,-118.09279850000001,Mid,9
81,Culver City,CA,Los Angeles,1317500.0,8.0,1.0,4.2,34.00424,-118.409539,High,1002
82,Culver City,CA,Los Angeles,1317500.0,9.0,2.0,4.5,34.0065368,-118.41216000000001,High,1002
83,Culver City,CA,Los Angeles,1317500.0,26.0,1.0,4.2,34.00424,-118.409539,High,1002
84,Culver City,CA,Los Angeles,1317500.0,27.0,2.0,4.5,34.0065368,-118.41216000000001,High,1002
85,Culver City,CA,Los Angeles,1317500.0,46.0,1.0,4.2,34.00424,-118.409539,High,1002
86,Culver City,CA,Los Angeles,1317500.0,47.0,2.0,4.5,34.0065368,-118.41216000000001,High,1002
87,Culver City,CA,Los Angeles,1317500.0,79.0,1.0,4.2,34.00424,-118.409539,High,1002
88,Culver City,CA,Los Angeles,1317500.0,86.0,1.0,4.2,34.00424,-118.409539,High,1002
89,Culver City,CA,Los Angeles,1317500.0,87.0,2.0,4.5,34.0065368,-118.41216000000001,High,1002
90,West Hollywood,CA,Los Angeles,1764600.0,19.0,1.0,4.5,34.090790999999996,-118.390096,High,54
91,West Hollywood,CA,Los Angeles,1764600.0,39.0,1.0,4.5,34.090790999999996,-118.390096,High,54
92,West Hollywood,CA,Los Angeles,1764600.0,59.0,1.0,4.5,34.090790999999996,-118.390096,High,54
93,West Hollywood,CA,Los Angeles,1764600.0,99.0,1.0,4.5,34.090790999999996,-118.390096,High,54
94,Claremont,CA,Los Angeles,701700.0,,,,,,Mid,7
95,Hermosa Beach,CA,Los Angeles,1979800.0,4.0,,4.5,33.8645386,-118.3966923,High,464
96,Anaheim,,,,,,,,,,29
97,Brea,,,,,,,,,,45
98,Corona,,,,,,,,,,6
99,Huntington Beach,,,,,,,,,,30
100,Irvine,,,,,,,,,,20
101,Newport Beach,,,,,,,,,,34
102,Newport Coast,,,,,,,,,,2
103,Orange,,,,,,,,,,38
104,San Pedro,,,,,,,,,,1
105,Studio City,,,,,,,,,,5
106,Venice,,,,,,,,,,487
107,Yorba Linda,,,,,,,,,,18
